DOY,Radiation,Rainfall,MaxTemp,MinTemp
178,23.03815695,8.3,33.1,23.9
179,18.89848812,1.2,32.5,25
180,12.59899208,28.4,32,23.7
181,18.89848812,0,33,23.5
182,16.3786897,0.3,32.8,24.2
183,20.87832973,0,33.8,24
184,12.95896328,0,31.8,24
185,22.85817135,0.5,32.7,23.8
186,18.89848812,0.8,31.5,24.9
187,15.6587473,4,32.5,24.7
188,17.27861771,17.9,33,23
189,12.77897768,0,32,24.1
190,13.67890569,9.3,30.5,24.7
191,23.39812815,0,32.6,23
192,15.2987761,0,31.1,24.1
193,11.33909287,3.6,31,23.5
194,21.05831533,0,33.6,24.7
195,24.83801296,0,33.8,24.6
196,15.2987761,8.6,32.5,25.2
197,6.839452844,46.8,27.1,24.7
198,4.67962563,6.7,28,24.2
199,14.39884809,0,31.2,24
200,7.019438445,75,28.4,23.5
201,5.399568035,80.7,27,23.8
202,20.33837293,13.1,30.6,24
203,21.23830094,0,32.2,22.8
204,23.57811375,0,33,23.6
205,25.01799856,0,33.4,22.2
206,15.2987761,1.8,32.5,23.5
207,16.0187185,1.8,33.9,24.8
208,12.77897768,3.4,31.7,24.8
209,16.91864651,0,32.1,26.5
210,18.53851692,4.6,32.7,27.7
211,10.43916487,17.6,30.1,26.6
212,14.75881929,27.2,31,25.6
213,6.119510439,16.5,28.5,24
214,9.539236861,26.7,28.5,24.3
215,14.39884809,12.8,30.8,23.1
216,13.31893449,1.8,31.5,23.7
217,11.69906407,5.1,31.5,25.3
218,4.139668826,18,27.9,25.2
219,5.759539237,10.4,27.1,23.6
220,15.8387329,8,30.5,23
221,17.99856012,4.6,32.2,23.3
222,19.43844492,0.2,32.7,25
223,21.41828654,0,33.2,23
224,22.13822894,0.3,32.5,22.9
225,17.27861771,17.3,32.7,24.8
226,13.67890569,18.1,32,23.7
227,14.9388049,23.7,31,24.3
228,24.29805616,2.4,31.9,22.7
229,16.55867531,0.5,31,24.1
230,11.51907847,4.4,30,24.8
231,11.15910727,0.7,30,24.6
232,9.179265659,15.6,27.4,24.8
233,10.61915047,7.9,27.8,24
234,15.6587473,0,30.5,24.1
235,24.65802736,0,33.2,22.4
236,23.03815695,0,34.1,22.2
237,19.07847372,0,34,21.5
238,18.35853132,0,33.7,22.5
239,21.23830094,0,34,23.1
240,18.89848812,11.5,33,23.7
241,18.53851692,0.5,33.2,23.5
242,9.35925126,33.1,29,24.2
243,11.51907847,0.3,30.9,24.4
244,12.95896328,0,32,24.6
245,11.15910727,20.5,30.9,23.4
246,10.25917927,24.4,29.2,23.2
247,16.91864651,0,31.5,23.8
248,11.87904968,33,31.8,23.2
249,21.23830094,0,33,22.6
250,15.8387329,3,30.5,23.6
251,10.43916487,15.7,31.2,24
252,7.559395248,27.4,29.6,24.5
253,5.219582433,61.6,28.1,24
254,10.97912167,33.4,29.7,23.6
255,10.79913607,5.9,29.8,25.4
256,17.45860331,0,30.7,25
257,14.03887689,0,31.7,24.1
258,12.59899208,12.2,30.2,23.9
259,17.09863211,0,30.1,23.2
260,21.41828654,0,33,23.3
261,13.85889129,0.1,31.5,22.7
262,21.05831533,0,33.7,22.5
263,22.13822894,0,33,23.1
264,12.23902088,9.4,31,24.1
265,19.43844492,0,33,23
266,19.79841613,0,33.2,24.2
267,21.77825774,0,33.2,25.2
268,19.61843053,0.6,32.7,24.8
269,12.41900648,8.4,29.9,24.8
270,11.15910727,14.7,29.2,24.4
271,17.45860331,8.7,32.2,23
272,20.51835853,1.1,32.1,23
273,15.2987761,21.4,33,23.6
274,16.1987041,0,32.4,23.2
